"Source:","C:\Users\hitts\Documents\GitHub\samwise-avionics\MagnetorquerSidePanels\new_X_Y_Panels.kicad_sch"
"Date:","4/30/2024 7:37:36 PM"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","27"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","14","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D17","CDBA240LL","sidepanels:CDBA240LL-HF","panels:DO-214AC","~",""
"2","1","J3","2053380006","sidepanels:2053380006","panels:MOLEX_2053380006","",""
"3","12","SC1, SC2, SC3, SC4, SC5, SC6, SC7, SC8, SC9, SC10, SC11, SC12","SM101K07TF","sidepanels:SM101K07TF","panels:SM101K07TF","~",""
