Designator,Mid X,Mid Y,Rotation,Layer
C1,52.9139,31.3741,0.0,top
C10,55.6639,52.1241,0.0,top
C11,55.6639,50.6241,0.0,top
C12,57.9639,51.3741,90.0,top
C13,60.2639,44.7741,0.0,top
C14,53.7639,37.8741,0.0,top
C15,44.1639,44.8741,180.0,top
C16,59.2639,48.5741,0.0,top
C17,59.9139,56.3741,90.0,top
C18,52.6639,61.3741,270.0,top
C19,63.433,68.062004,90.0,top
C2,56.4139,33.8741,270.0,top
C20,67.1449,68.062004,90.0,top
C21,59.8424,62.4586,90.0,top
C22,71.8639,51.3741,270.0,top
C23,78.7273,48.648619,90.0,top
C24,69.4309,75.6031,270.0,top
C25,78.7273,45.295819,90.0,top
C26,57.1754,73.3171,180.0,top
C27,58.3819,75.0951,180.0,top
C28,60.2639,43.2741,0.0,top
C29,55.7149,92.0061,90.0,top
C3,62.8639,49.9741,180.0,bottom
C30,38.9139,62.6241,180.0,bottom
C31,69.4309,72.5551,90.0,top
C32,63.0139,61.3741,90.0,top
C33,49.8889,83.7991,180.0,bottom
C34,54.8259,81.5975,180.0,top
C35,50.3301,81.2491,90.0,bottom
C36,54.8259,80.1241,0.0,top
C37,50.8509,78.1431,0.0,top
C38,50.8889,76.5556,0.0,top
C39,54.3179,75.0951,0.0,top
C4,38.5639,53.5491,270.0,top
C40,59.2639,39.0741,0.0,top
C41,41.9139,55.1241,180.0,bottom
C42,50.6639,56.1241,180.0,bottom
C43,31.313837,7.891152,270.0,top
C44,22.3647,8.6995,0.0,top
C45,50.4139,34.8741,270.0,top
C46,47.9639,36.9741,225.0,top
C47,51.7639,51.6741,135.0,top
C48,49.4639,52.1241,90.0,top
C49,44.1639,47.3741,180.0,top
C5,40.1639,88.8741,270.0,top
C50,44.1639,41.8741,180.0,top
C51,53.6639,56.1241,0.0,bottom
C53,41.8264,55.8741,180.0,top
C54,47.3639,68.6241,180.0,bottom
C7,56.4139,51.6241,90.0,bottom
C9,30.572837,10.365152,0.0,top
D1,36.6639,88.1241,270.0,top
D2,81.1149,46.6151,270.0,top
D3,74.1639,52.3621,0.0,bottom
D4,62.5749,80.8736,180.0,bottom
D5,57.9574,92.8751,90.0,top
D6,56.3639,58.5741,270.0,bottom
D7,34.4139,56.3741,180.0,bottom
D8,65.7639,38.2741,0.0,top
J1,27.5739,11.0491,180.0,bottom
J10,52.2139,5.4541,180.0,top
J11,24.1039,81.4041,270.0,bottom
J12,64.1479,5.4541,180.0,top
J13,47.7159,93.3561,180.0,top
J14,62.6999,78.1431,270.0,bottom
J15,7.4639,61.574102,90.0,top
J16,75.1967,66.0519,270.0,top
J17,76.2139,5.4541,180.0,top
J18,41.6179,66.6649,270.0,top
J19,27.7639,70.3741,90.0,top
J2,36.0289,24.1291,0.0,top
J20,7.4139,77.1601,90.0,top
J21,24.1139,89.3241,180.0,top
J22,32.4139,58.1241,90.0,top
J3,82.8639,71.324099,90.0,top
J4,17.8689,68.634101,270.0,top
J5,44.3839,21.9441,90.0,top
J6,83.1549,24.4741,90.0,top
J7,5.6134,18.0086,270.0,top
J8,41.5671,74.1833,270.0,top
J9,75.1967,73.3163,270.0,top
L1,55.4139,54.0766,0.0,top
L2,56.4769,60.7441,270.0,top
L3,73.2639,46.4741,270.0,bottom
L4,47.9639,79.7741,270.0,bottom
Q10,85.1639,56.1241,180.0,bottom
Q21,85.1789,56.0451,180.0,top
Q5,80.451,59.426004,90.0,top
Q6,66.7639,74.2061,180.0,top
Q9,80.9139,54.1241,90.0,top
R1,62.0639,52.2741,270.0,bottom
R10,69.5039,45.8841,180.0,top
R11,71.5137,43.060619,270.0,top
R12,69.8881,43.060619,270.0,top
R13,60.8584,73.8251,270.0,top
R14,62.5729,73.8251,90.0,top
R15,54.4449,71.8566,180.0,top
R16,75.9079,42.9641,270.0,top
R17,78.3717,42.806619,180.0,top
R18,76.6699,40.6781,0.0,top
R19,80.4291,46.6471,270.0,bottom
R2,62.8289,48.4741,0.0,bottom
R20,53.4139,36.3741,180.0,top
R21,46.6639,49.6241,0.0,bottom
R22,60.8639,59.3741,180.0,bottom
R23,38.4139,29.6241,90.0,top
R25,66.7639,71.4121,0.0,top
R26,64.9139,63.3741,270.0,top
R27,20.1639,56.3741,0.0,top
R28,76.1619,56.4261,180.0,top
R29,53.4139,69.1241,270.0,top
R3,40.1639,29.6241,90.0,top
R31,59.9186,92.8751,270.0,top
R33,77.0509,59.426004,270.0,top
R34,59.1439,85.4329,180.0,bottom
R35,62.8777,85.4329,0.0,bottom
R36,59.1439,83.0961,0.0,bottom
R38,80.4799,56.6801,0.0,top
R39,49.1889,85.2991,0.0,bottom
R4,46.6639,51.1241,180.0,bottom
R40,49.1889,86.7695,180.0,bottom
R44,36.9139,59.1241,180.0,top
R45,36.9139,60.6241,180.0,top
R46,20.1639,57.8741,0.0,top
R5,21.1639,51.3741,270.0,top
R50,40.9139,49.6241,180.0,top
R51,34.9139,40.6241,0.0,bottom
R53,41.9139,61.1241,180.0,bottom
R54,38.9139,61.1241,180.0,bottom
R55,31.313837,4.843152,270.0,top
R56,42.7089,57.3741,270.0,bottom
R57,74.4139,54.8741,180.0,top
R58,77.4139,54.8741,180.0,top
R59,33.547837,4.115152,0.0,top
R6,64.2239,72.1741,90.0,top
R60,81.1639,56.1241,90.0,bottom
R61,78.8639,35.0741,270.0,top
R62,41.1639,57.3741,90.0,bottom
R63,51.6639,57.6241,180.0,bottom
R64,54.4139,61.3741,90.0,bottom
R65,59.4639,51.3741,270.0,top
R66,51.1639,54.7741,90.0,top
R67,52.6639,54.7741,90.0,top
R68,54.4139,58.3741,270.0,bottom
R69,51.1639,70.8741,270.0,bottom
R70,49.6639,69.3741,270.0,bottom
R71,66.1639,54.8741,180.0,top
R72,63.4639,53.8741,90.0,top
R73,62.6639,61.6741,90.0,bottom
R74,61.1639,61.6741,90.0,bottom
R75,51.1639,67.8741,270.0,bottom
R76,50.3639,65.6241,0.0,bottom
R77,48.8639,67.1241,0.0,bottom
R78,47.3639,65.6241,0.0,bottom
R79,45.8639,67.1241,0.0,bottom
R8,69.1639,61.0991,270.0,top
R80,44.3639,65.6241,0.0,bottom
R82,54.9139,67.6241,90.0,top
R9,69.5039,47.4241,0.0,top
REF1B,88.0999,94.0181,180.0,bottom
REF1T,1.9939,1.8161,0.0,top
REF2B,2.5019,93.5101,180.0,bottom
REF2T,2.5019,93.5101,90.0,top
REF3B,1.9939,1.8161,180.0,bottom
REF3T,88.0999,94.0181,0.0,top
SW1,38.9139,17.1241,270.0,top
SW2,47.4139,55.1241,180.0,top
U1,41.4639,53.3741,180.0,top
U16,67.5539,84.6841,90.0,top
U17,54.0639,82.0801,270.0,bottom
U2,52.1239,44.230767,0.0,top
U21,36.647837,8.653152,0.0,top
U23,22.0839,30.9241,270.0,top
U3,51.7989,52.7191,180.0,bottom
U4,65.2399,58.8741,270.0,top
U5,58.48,68.316004,270.0,top
U6,74.8665,46.5963,270.0,top
U7,48.6639,61.3741,90.0,bottom
Y1,53.4139,33.8741,0.0,top
