Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,15pF,
"C10, C11, C12, C15, C29, C34",0603,6,4.7uF,
"C13, C14, C16, C21, C24, C28, C3, C40, C45, C46, C47, C48, C49, C5, C50, C7",0603,16,0.1uF,
"C17, C18, C31, C37, C38",0603,5,22uF,
"C19, C20, C22",1210,3,10uF,
"C23, C27, C33, C4",0603,4,1uF,
"C25, C30, C35, C39, C41, C42, C43, C44, C51, C54, C9",0603,11,10uF,
"C26, C32",0603,2,3.3nF,
C36,0603,1,47nF,
C53,0603,1,2.2uF,
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,1655,
D2,DO-214AC,1,CDBA240LL,
"D3, D7, D8",DIOM5226X262N,3,CMSH1-40M,
D4,PWRDI-123,1,DFLS130L,
D5,0603,1,GREEN LED,
D6,D_SOD-123,1,1N4151W-E3-08,
J1,Molex_503182-1852,1,503182-1852,
"J10, J17",Molex_35362-0450,2,35362-0450,
J11,PinSocket_2x09_P2.54mm_Vertical,1,MPPT board,
"J12, J15",Molex_35362-0550,2,35362-0550,
J13,USB_C_Receptacle_XKB_U262-161N-4BVC11,1,USB_C_pycubed,
J14,PinHeader_1x08_P2.54mm_Horizontal,1,Conn_01x08_Horizontal,
"J16, J18, J8, J9",1985807,4,1985807,
J19,Molex_35362-0650,1,35362-0650,
J2,SAMTEC_FTSH-105-01-L-DV-007,1,Conn_ARM_JTAG_SWD_10,
"J20, J21",Molex_35362-0750,2,35362-0750,
J22,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,QWIIC,
"J3, J4",Molex_35362-0850,2,35362-0850,
J5,Molex_35362-1250,1,35362-1250,
J6,Molex_35362-0950,1,35362-0950,
J7,SMA_Amphenol_901-144_horizontal,1,Amphenol_901-144,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Jumper_2_Open,
"JP2, JP3",SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,2,Jumper_2_Bridged,
L1,polarized,1,3.3uH,
L2,L_2141,1,3.3uH,
L3,SDE06004A-680K,1,68uH,
L4,L_2510,1,1uH,
"Q10, Q21",DMP2040USS-13,2,DMP2040USS-13,
"Q5, Q9",SOT-23,2,IRLML2803,
Q6,SOT-23,1,MMBT2222A-TP,
"R1, R18",0603,2,330k,
R10,0603,1,20k,
"R11, R12, R15, R27, R38, R46, R60, R61, R62, R68, R69, R70, R75",0603,13,100k,
R13,0603,1,73.2k,
R14,0603,1,22.1k,
R16,0603,1,49.9k,
R17,0603,1,510k,
R19,2512,1,0.27,
R2,0603,1,110k,
"R20, R23, R26, R3, R4, R56, R6, R63",0603,8,1k,
"R21, R22, R25, R28, R29, R31, R34, R35, R44, R45, R5, R51, R53, R54, R55, R57, R71, R72, R73, R74, R76, R77, R78",0603,23,10k,
"R33, R58, R59",0603,3,3.3k,
R36,0603,1,560,
"R39, R40",0603,2,5.1k,
"R50, R82",0603,2,0,
R64,0603,1,4.7M,
R65,0603,1,33,
"R66, R67",0603,2,27,
"R79, R80",0603,2,3k,
R8,2512,1,0.02,
R9,0603,1,121k,
"SW1, SW2",BTN_KMR2_4.6X2.8,2,KMR231NG LFS,
U1,SOT-23-5,1,TPS70960DBVR,
U16,Relay_PE014006,1,PE014006,
U17,QFN50P400X400X100-25N-D,1,BQ25883RGER,
U2,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_80QFN,
U21,TPS7A4501DCQT,1,TPS7A4501DCQT,
U23,RFM98PW,1,RFM98PW,
U3,SON127P600X500X90-9N,1,MR25H40MDF,
U4,ADM1176-1ARMZ-R7,1,RM_10,
U5,PWP14_2P31X2P46-L,1,TPS54226PWPR,
U6,MSOP-12_MSE,1,LT3652HVIMSE#PBF,
U7,TSSOP-14_4.4x5mm_P0.65mm,1,TLV1704,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
