"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SC2,SC4,SC1,SC6,SC3,SC5";"SM101K07TF";6;"SM101K07TF";;;
2;"C1,C3";"C_0603_1608Metric";2;"1nF";;;
3;"U1";"LTC2051HS8#PBF";1;"LTC2051IS8_PBF";;;
4;"D7,D8";"Osram_SFH2430";2;"SFH2430";;;
5;"R2,R1";"R_0603_1608Metric";2;"3.9k";;;
6;"C4,C2";"C_0603_1608Metric";2;"100nF";;;
7;"AE1";"UHF_Dipole_Antenna_Mount";1;"UHF_Dipole_Antenna";;;
8;"U2";"HHM1589D1";1;"HHM1589D1";;;
9;"J4,J2";"CON_2053380004";2;"Conn_01x04_MountingPin";;;
10;"D2,D3,D1,D6,D9,D5,D4";"DO-214AC";7;"CDBA240LL";;;
11;"J1";"SMA_Amphenol_901-144_Vertical";1;"SMA Connector Male";;;
